CountyName ,Race/Ethnicity,PeopleVaccinated,PeopleFullyVaccinated,TotalVaccinations
Ector,Black,2096,1774,3933
Ector,Hispanic,29082,24286,54790
Ector,Other,9691,8469,18603
Ector,Unknown,4410,3578,7914
Ector,White,27011,24185,51936
Edwards,Black,2,1,3
Edwards,Hispanic,250,211,470
Edwards,Other,65,57,126
Edwards,Unknown,66,58,123
Edwards,White,362,328,696
El Paso,Asian,3798,3252,7275
El Paso,Black,6103,4902,10851
El Paso,Hispanic,490872,424392,926306
El Paso,Other,27507,23038,53263
El Paso,Unknown,53388,43757,100042
El Paso,White,42323,35956,79674
Ellis,Asian,891,792,1719
Ellis,Black,11753,10271,22321
Ellis,Hispanic,19231,16524,35599
Ellis,Other,14015,12361,27770
Ellis,Unknown,4064,3229,6961
Ellis,White,49467,44116,94635
Erath,Asian,163,149,311
Erath,Black,134,112,236
Erath,Hispanic,2699,2302,4942
Erath,Other,2276,2083,4639
Erath,Unknown,887,771,1606
Erath,White,10178,9037,19165
Falls,Asian,47,45,95
Falls,Black,1493,1253,2747
Falls,Hispanic,1224,1040,2251
Falls,Other,1045,885,1978
Falls,Unknown,644,551,1190
Falls,White,3708,3233,7119
Fannin,Asian,75,68,142
Fannin,Black,798,715,1459
Fannin,Hispanic,1428,1242,2539
Fannin,Other,1309,1172,2577
Fannin,Unknown,1572,1366,3076
Fannin,White,9558,8552,18046
Fayette,Asian,62,51,115
Fayette,Black,537,448,966
Fayette,Hispanic,1631,1303,2785
Fayette,Other,2564,2305,5228
Fayette,Unknown,801,661,1427
Fayette,White,8341,7281,15321
Fisher,Asian,1,1,2
Fisher,Black,22,18,35
Fisher,Hispanic,331,287,594
Fisher,Other,80,57,140
Fisher,Unknown,235,210,465
Fisher,White,810,738,1475
Floyd,Asian,4,4,7
Floyd,Black,37,33,69
Floyd,Hispanic,1117,1016,2118
Floyd,Other,189,154,353
Floyd,Unknown,164,142,291
Floyd,White,1047,961,2003
Foard,Asian,1,0,1
Foard,Black,21,19,37
Foard,Hispanic,62,41,103
Foard,Other,25,23,51
Foard,Unknown,132,110,263
Foard,White,330,272,644
Fort Bend,Asian,105882,97007,208648
Fort Bend,Black,81838,72621,157258
Fort Bend,Hispanic,118610,104198,223163
Fort Bend,Other,113756,104810,235788
Fort Bend,Unknown,24363,18969,43215
Fort Bend,White,132251,119205,256960
Franklin,Asian,30,25,53
Franklin,Black,129,111,245
Franklin,Hispanic,438,358,775
Franklin,Other,451,401,923
Franklin,Unknown,545,450,928
Franklin,White,2543,2238,4773
Freestone,Asian,63,52,116
Freestone,Black,1136,1009,2111
Freestone,Hispanic,737,629,1311
Freestone,Other,1154,1008,2223
Freestone,Unknown,286,203,460
Freestone,White,4567,4102,8323
Frio,Asian,43,37,81
Frio,Black,636,572,762
Frio,Hispanic,7278,6357,11889
Frio,Other,1521,1312,2422
Frio,Unknown,704,558,1291
Frio,White,1682,1484,3117
Gaines,Asian,25,22,46
Gaines,Black,60,56,108
Gaines,Hispanic,1969,1707,3470
Gaines,Other,415,351,773
Gaines,Unknown,1016,928,1910
Gaines,White,1305,1160,2393
Galveston,Asian,9373,8758,18367
Galveston,Black,20880,18883,42338
Galveston,Hispanic,42977,38730,84377
Galveston,Other,49416,46702,109596
Galveston,Unknown,6028,4754,10256
Galveston,White,76693,69642,148567
Garza,Asian,18,15,27
Garza,Black,67,55,96
Garza,Hispanic,2055,1951,3026
Garza,Other,190,156,345
Garza,Unknown,54,47,100
Garza,White,760,698,1408
Gillespie,Asian,98,87,178
Gillespie,Black,28,25,57
Gillespie,Hispanic,1697,1420,3087
Gillespie,Other,1916,1752,4040
Gillespie,Unknown,1725,1533,3258
Gillespie,White,9735,8746,19039
Glasscock,Asian,2,1,3
Glasscock,Hispanic,202,164,362
Glasscock,Other,92,78,175
Glasscock,Unknown,32,25,57
Glasscock,White,302,264,568
Goliad,Asian,13,11,26
Goliad,Black,82,77,155
Goliad,Hispanic,849,737,1606
Goliad,Other,437,406,908
Goliad,Unknown,354,309,684
Goliad,White,1611,1482,3113
Gonzales,Asian,42,39,78
Gonzales,Black,481,436,878
Gonzales,Hispanic,3467,3166,6168
Gonzales,Other,1361,1200,2567
Gonzales,Unknown,1176,1027,2117
Gonzales,White,4147,3786,7688
Gray,Asian,61,61,123
Gray,Black,334,310,564
Gray,Hispanic,1557,1353,2889
Gray,Other,1172,1053,2169
Gray,Unknown,943,792,1753
Gray,White,4645,4201,8768
Grayson,Asian,639,578,1145
Grayson,Black,2458,2120,4275
Grayson,Hispanic,6384,5453,11268
Grayson,Other,8686,7609,17215
Grayson,Unknown,5897,5074,10887
Grayson,White,37181,32814,68305
Gregg,Asian,804,720,1557
Gregg,Black,9183,8048,17767
Gregg,Hispanic,9344,8098,17446
Gregg,Other,8587,7729,17790
Gregg,Unknown,3823,3095,6898
Gregg,White,28021,25196,55346
Grimes,Asian,81,76,156
Grimes,Black,1855,1656,3422
Grimes,Hispanic,2598,2230,4727
Grimes,Other,2120,1885,4133
Grimes,Unknown,1590,1292,2819
Grimes,White,7710,6895,14539
Guadalupe,Asian,1621,1462,3060
Guadalupe,Black,5041,4379,9413
Guadalupe,Hispanic,26597,23586,48862
Guadalupe,Other,16668,14904,33228
Guadalupe,Unknown,6793,5783,12289
Guadalupe,White,35983,32587,66612
Hale,Asian,68,56,123
Hale,Black,431,392,702
Hale,Hispanic,6669,6016,12193
Hale,Other,1860,1617,3240
Hale,Unknown,904,766,1655
Hale,White,3965,3624,7272
Hall,Asian,7,6,14
Hall,Black,62,56,115
Hall,Hispanic,393,349,702
Hall,Other,122,110,238
Hall,Unknown,47,38,83
Hall,White,668,611,1298
Hamilton,Asian,12,13,25
Hamilton,Black,9,9,15
Hamilton,Hispanic,442,373,780
Hamilton,Other,197,183,408
Hamilton,Unknown,287,249,535
Hamilton,White,3326,3081,6358
Hansford,Asian,7,7,14
Hansford,Black,2,2,6
Hansford,Hispanic,944,859,1600
Hansford,Other,80,64,145
Hansford,Unknown,261,233,497
Hansford,White,998,918,1897
Hardeman,Asian,13,13,25
Hardeman,Black,56,49,99
Hardeman,Hispanic,277,252,498
Hardeman,Other,57,52,110
Hardeman,Unknown,375,347,761
Hardeman,White,1037,956,1984
Hardin,Asian,190,169,360
Hardin,Black,1106,947,2080
Hardin,Hispanic,1163,973,2129
Hardin,Other,3545,3164,7105
Hardin,Unknown,1564,1228,2763
Hardin,White,15241,13349,29238
Harris,Asian,213410,195106,405812
Harris,Black,350639,298660,648690
Harris,Hispanic,1121438,959432,2050830
Harris,Other,496809,445308,989593
Harris,Unknown,142763,106782,250277
Harris,White,708735,633479,1357736
Harrison,Asian,192,182,362
Harrison,Black,4818,4296,9039
Harrison,Hispanic,2838,2502,5183
Harrison,Other,3781,3408,7680
Harrison,Unknown,1845,1469,3156
Harrison,White,13388,11988,25258
