Category,Category_Description,At_Least_One_Dose,Fully_Vaccinated
5Cat Age Groups,16+,1200725,999208
5Cat Age Groups,18+,1172493,976931
5Cat Age Groups,18-49,536986,454587
5Cat Age Groups,50-64,274645,230748
5Cat Age Groups,65+,246116,192578
Gender,Female,598057,508993
Gender,Male,528550,417888
Gender,Other,207,182
Gender,Unknown,2447,2012
Race/Ethnicity,Hispanic,491055,409177
Race/Ethnicity,NH White,327084,274480
Race/Ethnicity,NH Asian,31027,26956
Race/Ethnicity,NH Black,49066,35738
Race/Ethnicity,NH Other,139179,116796
Race/Ethnicity,Unknown,91850,65928
MultiCat Age Groups,15-Dec,41040,28869
MultiCat Age Groups,16-18,43651,34614
MultiCat Age Groups,19-29,171444,141948
MultiCat Age Groups,30-39,173445,147927
MultiCat Age Groups,40-49,176678,152375
MultiCat Age Groups,50-59,178784,156747
MultiCat Age Groups,60-64,83208,74001
MultiCat Age Groups,65-75,140455,126043
MultiCat Age Groups,76-85,56308,49914
MultiCat Age Groups,86-95,17654,15351
MultiCat Age Groups,96+,1572,1270
5Cat Age Groups,12+,1254379,1039246
5Cat Age Groups,16+,1211227,1008759
5Cat Age Groups,18+,1182262,985901
5Cat Age Groups,18-49,543610,460278
5Cat Age Groups,50-64,276414,232318
5Cat Age Groups,65+,247441,193603
Gender,Female,604228,514422
Gender,Male,534992,422941
Gender,Other,208,184
Gender,Unknown,2439,2014
Race/Ethnicity,Hispanic,496211,413700
Race/Ethnicity,NH White,329158,276159
Race/Ethnicity,NH Asian,31208,27149
Race/Ethnicity,NH Black,49709,36271
Race/Ethnicity,NH Other,142779,120001
Race/Ethnicity,Unknown,92802,66281
MultiCat Age Groups,15-Dec,43152,30487
MultiCat Age Groups,16-18,44714,35505
MultiCat Age Groups,19-29,174202,144249
MultiCat Age Groups,30-39,175380,149558
MultiCat Age Groups,40-49,178279,153824
MultiCat Age Groups,50-59,179901,157868
MultiCat Age Groups,60-64,83656,74450
MultiCat Age Groups,65-75,141022,126693
MultiCat Age Groups,76-85,56520,50179
MultiCat Age Groups,86-95,17743,15446
MultiCat Age Groups,96+,1586,1285
5Cat Age Groups,12+,1276058,1052806
5Cat Age Groups,16+,1229259,1020388
5Cat Age Groups,18+,1199005,996819
5Cat Age Groups,18-49,555684,467750
5Cat Age Groups,50-64,279565,234494
5Cat Age Groups,65+,248959,194873
Gender,Female,614839,521346
Gender,Male,546077,429581
Gender,Other,207,184
Gender,Unknown,2433,2010
Race/Ethnicity,Hispanic,503715,418535
Race/Ethnicity,NH White,334110,279138
Race/Ethnicity,NH Asian,31543,27421
Race/Ethnicity,NH Black,50642,36885
Race/Ethnicity,NH Other,149374,124580
Race/Ethnicity,Unknown,94172,66562
MultiCat Age Groups,15-Dec,46799,32418
MultiCat Age Groups,16-18,46617,36599
MultiCat Age Groups,19-29,178710,147140
MultiCat Age Groups,30-39,179313,151867
MultiCat Age Groups,40-49,181298,155713
MultiCat Age Groups,50-59,182262,159465
MultiCat Age Groups,19-29,190011,151558
MultiCat Age Groups,30-39,188810,155555
MultiCat Age Groups,40-49,188665,158881
MultiCat Age Groups,50-59,187341,161975
MultiCat Age Groups,60-64,86342,76081
MultiCat Age Groups,65-75,144436,129028
MultiCat Age Groups,76-85,57699,51120
MultiCat Age Groups,86-95,18251,15869
MultiCat Age Groups,96+,1650,1343
5Cat Age Groups,12+,1367288,1102506
5Cat Age Groups,16+,1308272,1064128
5Cat Age Groups,18+,1273190,1038291
5Cat Age Groups,18-49,603130,491866
5Cat Age Groups,50-64,291848,242296
